blockchain,block_number,block_size,gas_used,tx_count,timestamp,tx_por_kb,dia_semana
bitcoin,903182,1658898.0,,3840,2025-06-29 07:59:51,2.37034465048484,Sunday
bitcoin,903181,1641225.0,,4216,2025-06-29 07:47:46,2.6304644396715866,Sunday
bitcoin,903180,1890033.0,,3618,2025-06-29 07:09:55,1.9601943458130096,Sunday
bitcoin,903179,1651661.0,,3529,2025-06-29 07:07:43,2.187916285484733,Sunday
bitcoin,903178,666873.0,,1719,2025-06-29 06:37:27,2.639567053996788,Sunday
bitcoin,903177,2007701.0,,3260,2025-06-29 06:34:27,1.6627177054750681,Sunday
bitcoin,903176,1794359.0,,3309,2025-06-29 06:30:26,1.8883712791030112,Sunday
bitcoin,903175,2938573.0,,1399,2025-06-29 06:01:55,0.4875073717753481,Sunday
bitcoin,903174,1471088.0,,1753,2025-06-29 05:54:51,1.2202342755837856,Sunday
bitcoin,903173,1606695.0,,4349,2025-06-29 05:48:08,2.7717619087630196,Sunday
bitcoin,903172,32014.0,,90,2025-06-29 05:34:04,2.8787405510089337,Sunday
bitcoin,903171,165327.0,,291,2025-06-29 05:33:41,1.8023916238726887,Sunday
bitcoin,903170,1556343.0,,2900,2025-06-29 05:32:07,1.9080626828404792,Sunday
bitcoin,903169,1779054.0,,2722,2025-06-29 05:29:14,1.5667472713026136,Sunday
bitcoin,903168,1894858.0,,3048,2025-06-29 05:23:16,1.6471693393383569,Sunday
bitcoin,903167,1938046.0,,2484,2025-06-29 04:56:14,1.3124642036360334,Sunday
bitcoin,903166,696922.0,,1158,2025-06-29 04:28:30,1.701470178872241,Sunday
bitcoin,903165,1873718.0,,1731,2025-06-29 04:21:46,0.9460036142044854,Sunday
bitcoin,903164,754640.0,,438,2025-06-29 04:08:07,0.5943390225803032,Sunday
bitcoin,903163,3194834.0,,259,2025-06-29 04:05:20,0.08301401575167912,Sunday
bitcoin,903162,2463328.0,,1345,2025-06-29 04:06:06,0.559113524467712,Sunday
bitcoin,903161,375042.0,,663,2025-06-29 03:57:29,1.8102292543235157,Sunday
bitcoin,903160,836601.0,,2083,2025-06-29 03:54:01,2.5495929361786565,Sunday
bitcoin,903159,1738836.0,,2595,2025-06-29 03:49:13,1.528194723366666,Sunday
bitcoin,903158,1923430.0,,2502,2025-06-29 03:34:28,1.3320204010543664,Sunday
bitcoin,903157,1879366.0,,2737,2025-06-29 03:31:33,1.4912944046024033,Sunday
bitcoin,903156,1402370.0,,2345,2025-06-29 03:27:50,1.7123013184822835,Sunday
bitcoin,903155,589191.0,,899,2025-06-29 02:43:18,1.5624407025905012,Sunday
bitcoin,903154,1173344.0,,2638,2025-06-29 02:38:15,2.302233616058036,Sunday
bitcoin,903153,1687348.0,,3634,2025-06-29 02:37:21,2.2053636831287915,Sunday
bitcoin,903152,1853060.0,,2239,2025-06-29 02:36:41,1.2372702448922324,Sunday
bitcoin,903151,1713101.0,,4103,2025-06-29 02:19:18,2.4525535855737637,Sunday
bitcoin,903150,1906298.0,,3503,2025-06-29 02:07:32,1.8816953068198152,Sunday
bitcoin,903149,1536207.0,,3506,2025-06-29 01:53:48,2.3370183835902325,Sunday
bitcoin,903148,1555103.0,,3719,2025-06-29 01:24:57,2.448877019721523,Sunday
bitcoin,903147,1916026.0,,3955,2025-06-29 01:18:06,2.1137082690944693,Sunday
bitcoin,903146,1576585.0,,3191,2025-06-29 01:06:38,2.0725707779789864,Sunday
bitcoin,903145,1895565.0,,4398,2025-06-29 00:49:29,2.37583622824857,Sunday
bitcoin,903144,1929148.0,,3106,2025-06-29 00:46:26,1.6486780692823984,Sunday
bitcoin,903143,1737529.0,,2798,2025-06-29 00:45:10,1.6489808227661236,Sunday
bitcoin,903142,1548620.0,,3300,2025-06-29 00:34:10,2.1820717800364196,Sunday
bitcoin,903141,1549387.0,,3796,2025-06-29 00:05:19,2.5088012226770973,Sunday
bitcoin,903140,133453.0,,291,2025-06-28 23:22:42,2.2328759937955684,Saturday
bitcoin,903139,26734.0,,73,2025-06-28 23:19:42,2.7961397471384752,Saturday
bitcoin,903138,1910719.0,,1649,2025-06-28 23:19:19,0.8837385298413843,Saturday
bitcoin,903137,1939631.0,,1615,2025-06-28 23:17:11,0.852615781042889,Saturday
bitcoin,903136,1856671.0,,1752,2025-06-28 23:08:22,0.966271353406177,Saturday
bitcoin,903135,1616266.0,,1602,2025-06-28 22:57:55,1.0149616461646784,Saturday
bitcoin,903134,1707735.0,,1367,2025-06-28 22:49:05,0.819686895215007,Saturday
bitcoin,903133,2043178.0,,757,2025-06-28 22:41:31,0.3793932785102424,Saturday
bitcoin,903132,1575960.0,,2404,2025-06-28 22:38:41,1.5620294931343435,Saturday
bitcoin,903131,2060109.0,,1590,2025-06-28 22:24:58,0.7903271137595147,Saturday
bitcoin,903130,1627328.0,,2499,2025-06-28 22:20:59,1.5725016714516065,Saturday
bitcoin,903129,1790604.0,,1839,2025-06-28 22:07:29,1.051676417566363,Saturday
bitcoin,903128,1657440.0,,3307,2025-06-28 22:04:36,2.043131576406989,Saturday
bitcoin,903127,1679971.0,,4400,2025-06-28 21:41:37,2.6819510574884924,Saturday
bitcoin,903126,1607360.0,,3781,2025-06-28 21:18:33,2.408759705355365,Saturday
bitcoin,903125,1802582.0,,2517,2025-06-28 20:44:08,1.4298423039839518,Saturday
bitcoin,903124,1989565.0,,2310,2025-06-28 20:32:56,1.1889232068316442,Saturday
bitcoin,903123,1523167.0,,3359,2025-06-28 20:28:04,2.2582001842214283,Saturday
bitcoin,903122,1493544.0,,3493,2025-06-28 20:20:55,2.394862153374792,Saturday
bitcoin,903121,1728324.0,,2680,2025-06-28 19:44:50,1.587850426193237,Saturday
bitcoin,903120,1837203.0,,3325,2025-06-28 19:30:45,1.8532519269781293,Saturday
bitcoin,903119,1605355.0,,4071,2025-06-28 19:17:21,2.5967490056716427,Saturday
bitcoin,903118,1567455.0,,4139,2025-06-28 18:47:34,2.703960241282844,Saturday
bitcoin,903117,1543292.0,,2922,2025-06-28 18:10:38,1.9387957690443545,Saturday
bitcoin,903116,2173558.0,,2418,2025-06-28 17:55:39,1.1391607677365867,Saturday
bitcoin,903115,2198792.0,,4169,2025-06-28 17:51:24,1.941546085305022,Saturday
bitcoin,903114,1717237.0,,4330,2025-06-28 17:50:17,2.5820081910650656,Saturday
bitcoin,903113,1721276.0,,3567,2025-06-28 17:45:42,2.1220350484175694,Saturday
bitcoin,903112,1587157.0,,3191,2025-06-28 17:45:00,2.0587654529451087,Saturday
bitcoin,903111,1609633.0,,3945,2025-06-28 17:35:24,2.5096900970593916,Saturday
bitcoin,903110,1787226.0,,4692,2025-06-28 17:03:34,2.688304668799581,Saturday
bitcoin,903109,1653970.0,,3018,2025-06-28 17:01:37,1.8684933825885597,Saturday
bitcoin,903108,1643989.0,,3202,2025-06-28 16:53:22,1.994446434860574,Saturday
bitcoin,903107,1706816.0,,3828,2025-06-28 16:34:34,2.2965990475833364,Saturday
bitcoin,903106,1589042.0,,3277,2025-06-28 16:27:24,2.1117427984911665,Saturday
bitcoin,903105,1772480.0,,4636,2025-06-28 16:20:09,2.678317385809713,Saturday
bitcoin,903104,1571206.0,,2552,2025-06-28 16:18:51,1.6632115712389082,Saturday
bitcoin,903103,1799833.0,,2626,2025-06-28 16:12:00,1.4940408360108965,Saturday
bitcoin,903102,1580138.0,,4087,2025-06-28 15:59:56,2.6485585436208736,Saturday
bitcoin,903101,1733405.0,,4843,2025-06-28 15:29:59,2.8609770942162966,Saturday
bitcoin,903100,1614517.0,,3748,2025-06-28 15:26:43,2.377151804533492,Saturday
bitcoin,903099,2199506.0,,2106,2025-06-28 15:14:44,0.9804674322325104,Saturday
bitcoin,903098,1787597.0,,4667,2025-06-28 15:12:59,2.6734258336750396,Saturday
bitcoin,903097,1646848.0,,4149,2025-06-28 15:10:36,2.5798227887455307,Saturday
bitcoin,903096,1642242.0,,3895,2025-06-28 14:59:01,2.4286798169819064,Saturday
bitcoin,903095,1806225.0,,5066,2025-06-28 14:47:56,2.8720585752051933,Saturday
bitcoin,903094,1547576.0,,3098,2025-06-28 14:47:33,2.0498844644786427,Saturday
bitcoin,903093,1790639.0,,4751,2025-06-28 14:32:24,2.7169206076713395,Saturday
bitcoin,903092,1637637.0,,4063,2025-06-28 14:29:16,2.540558133456926,Saturday
bitcoin,903091,1675840.0,,3398,2025-06-28 14:20:10,2.0763032270383808,Saturday
bitcoin,903090,1384237.0,,1701,2025-06-28 14:01:11,1.2583278730448615,Saturday
bitcoin,903089,1552579.0,,3595,2025-06-28 13:58:15,2.371074193326072,Saturday
bitcoin,903088,1129444.0,,918,2025-06-28 13:38:43,0.8322962448780108,Saturday
bitcoin,903087,1526328.0,,3086,2025-06-28 13:35:20,2.0703701956591245,Saturday
bitcoin,903086,1028203.0,,211,2025-06-28 13:23:05,0.21013749230453518,Saturday
bitcoin,903085,1393299.0,,2589,2025-06-28 13:22:08,1.9027760731903203,Saturday
bitcoin,903084,1655195.0,,2656,2025-06-28 13:15:17,1.6431562444304146,Saturday
bitcoin,903083,1700443.0,,3746,2025-06-28 12:57:16,2.255826275858703,Saturday
bitcoin,903082,1488264.0,,1659,2025-06-28 12:53:25,1.1414748996145845,Saturday
bitcoin,903081,1601500.0,,3394,2025-06-28 12:46:48,2.1701255073368717,Saturday
bitcoin,903080,1641970.0,,3594,2025-06-28 12:25:08,2.241366163815417,Saturday
bitcoin,903079,2307760.0,,4156,2025-06-28 12:10:21,1.8441016396852359,Saturday
bitcoin,903078,1753032.0,,4854,2025-06-28 12:09:14,2.835370945881193,Saturday
bitcoin,903077,1679006.0,,4217,2025-06-28 12:04:46,2.571883602560086,Saturday
bitcoin,903076,1805194.0,,4502,2025-06-28 11:55:25,2.553768736213393,Saturday
